iso_code,country,year,population,carbon_intensity_elec,electricity_demand,per_capita_electricity,primary_energy_consumption,renewables_electricity
IDN,Indonesia,2000,214072416.0,630.661,98.04,457.976,1163.518,19.6
IDN,Indonesia,2001,217112432.0,626.036,106.16,488.963,1246.258,22.19
IDN,Indonesia,2002,220115088.0,643.489,113.04,513.549,1280.384,21.0
IDN,Indonesia,2003,223080128.0,656.53,117.39,526.223,1389.068,19.82
IDN,Indonesia,2004,225938592.0,653.711,124.78,552.274,1375.847,20.97
IDN,Indonesia,2005,228805152.0,650.538,132.89,580.8,1416.014,22.66
IDN,Indonesia,2006,231797424.0,668.116,138.0,595.347,1440.204,21.18
IDN,Indonesia,2007,234858288.0,663.14,148.4,631.87,1545.699,24.29
IDN,Indonesia,2008,237936544.0,652.983,155.9,655.217,1563.545,26.34
IDN,Indonesia,2009,240981296.0,660.588,162.87,675.862,1606.185,26.79
IDN,Indonesia,2010,244016176.0,636.855,177.56,727.657,1738.335,34.63
IDN,Indonesia,2011,247099696.0,667.396,191.88,776.529,1836.37,30.46
IDN,Indonesia,2012,250222688.0,687.5,208.96,835.096,1895.788,31.11
IDN,Indonesia,2013,253275920.0,682.299,225.18,889.07,1809.826,35.5
IDN,Indonesia,2014,256229760.0,691.589,237.55,927.059,1839.601,34.41
IDN,Indonesia,2015,259091968.0,696.276,243.29,938.972,1866.101,33.56
IDN,Indonesia,2016,261850176.0,689.031,258.24,983.578,1896.811,39.58
IDN,Indonesia,2017,264498848.0,688.499,266.93,1004.957,1967.708,43.17
IDN,Indonesia,2018,267066848.0,684.062,285.29,1062.618,2151.627,48.38
IDN,Indonesia,2019,269582880.0,693.813,297.12,1095.915,2299.63,48.04
IDN,Indonesia,2020,271857984.0,685.046,293.37,1073.428,2163.753,52.89
IDN,Indonesia,2021,273753184.0,684.219,310.33,1130.069,2214.053,56.2
IDN,Indonesia,2022,275501344.0,675.931,334.51,1210.666,2791.422,65.41
IDN,Indonesia,2023,277534112.0,675.931,334.51,1263.301,2807.733,65.194
MYS,Malaysia,2000,22945152.0,581.831,69.88,3046.395,611.257,7.56
MYS,Malaysia,2001,23542522.0,600.026,75.69,3218.856,625.815,6.64
MYS,Malaysia,2002,24142448.0,618.276,80.84,3349.702,659.175,5.81
MYS,Malaysia,2003,24739420.0,631.137,83.11,3367.5,714.156,5.51
MYS,Malaysia,2004,25333250.0,649.802,95.54,3791.854,771.64,6.15
MYS,Malaysia,2005,25923540.0,652.456,96.52,3809.279,835.079,6.6
MYS,Malaysia,2006,26509416.0,652.659,101.67,3922.757,843.833,6.94
MYS,Malaysia,2007,27092604.0,662.275,106.29,4006.629,900.057,6.72
MYS,Malaysia,2008,27664304.0,651.059,113.35,4114.689,932.623,8.61
MYS,Malaysia,2009,28217208.0,666.609,116.02,4114.865,903.049,8.28
MYS,Malaysia,2010,28717728.0,688.979,124.89,4354.105,932.974,7.62
MYS,Malaysia,2011,29184140.0,685.685,127.43,4354.077,949.202,9.6
MYS,Malaysia,2012,29660216.0,682.727,134.17,4520.534,1038.408,10.76
MYS,Malaysia,2013,30134806.0,666.028,141.16,4677.979,1086.738,13.04
MYS,Malaysia,2014,30606454.0,662.304,147.48,4818.265,1097.615,14.31
MYS,Malaysia,2015,31068834.0,669.176,150.12,4831.53,1114.575,14.94
MYS,Malaysia,2016,31526414.0,649.282,155.99,4968.849,1172.303,21.09
MYS,Malaysia,2017,31975812.0,620.58,159.52,5023.797,1188.477,27.94
MYS,Malaysia,2018,32399270.0,630.32,169.09,5264.934,1209.576,28.31
